"","E2","Month","SP_Acct_Val","Return_Qty"
"1","E2-986","December",15.13,1
"2","E2-983","December",19.64,1
"3","E2-983","February",19.64,1
"4","E2-983","June",19.64,1
"5","E2-963","January",21.3,3
"6","E2-944","January",44.66,2
"7","E2-944","July",44.66,1
"8","E2-927","May",74.78,1
"9","E2-925","December",53.57,2
"10","E2-925","July",53.57,2
"11","E2-925","March",53.57,1
"12","E2-925","September",53.57,1
"13","E2-925","September",53.79,2
"14","E2-909","August",27.13,6
"15","E2-909","August",28.15,3
"16","E2-909","February",28.15,4
"17","E2-909","November",27.13,2
"18","E2-908","June",24.52,1
"19","E2-908","March",24.52,6
"20","E2-908","October",24.52,2
"21","E2-908","September",24.52,2
"22","E2-907","August",23.01,2
"23","E2-907","August",23.35,2
"24","E2-907","December",23.35,1
"25","E2-907","December",24.04,3
"26","E2-907","February",23.01,11
"27","E2-907","January",23.35,3
"28","E2-907","January",24.04,1
"29","E2-907","January",28.08,3
"30","E2-907","July",23.35,4
"31","E2-907","July",24.04,1
"32","E2-907","June",23.35,7
"33","E2-907","June",24.84,1
"34","E2-907","March",23.01,3
"35","E2-907","March",28.08,3
"36","E2-907","March",38.85,1
"37","E2-907","May",23.35,3
"38","E2-907","November",23.01,2
"39","E2-907","November",23.35,2
"40","E2-907","October",23.01,7
"41","E2-907","October",23.35,2
"42","E2-907","October",38.85,29
"43","E2-907","September",23.01,1
"44","E2-907","September",23.35,1
"45","E2-906","April",22.94,1
"46","E2-906","April",23.43,1
"47","E2-906","April",23.49,2
"48","E2-906","April",25.32,1
"49","E2-906","August",23.35,1
"50","E2-906","August",24.01,1
"51","E2-906","August",24.04,1
"52","E2-906","December",22.94,5
"53","E2-906","December",23.43,12
"54","E2-906","December",24.84,1
"55","E2-906","February",23.08,1
"56","E2-906","February",37.99,1
"57","E2-906","January",23.43,1
"58","E2-906","January",23.83,1
"59","E2-906","July",23.01,1
"60","E2-906","July",23.43,3
"61","E2-906","July",24.04,1
"62","E2-906","July",26.34,2
"63","E2-906","June",23.43,2
"64","E2-906","June",23.49,2
"65","E2-906","March",23.56,1
"66","E2-906","March",24.04,2
"67","E2-906","March",24.84,1
"68","E2-906","March",26.34,3
"69","E2-906","March",37.99,1
"70","E2-906","May",24.91,2
"71","E2-906","November",23.49,1
"72","E2-906","November",23.56,4
"73","E2-906","November",24.04,2
"74","E2-906","November",26.34,5
"75","E2-906","October",23.43,1
"76","E2-906","October",23.56,1
"77","E2-906","October",24.52,3
"78","E2-906","September",23.43,1
"79","E2-906","September",23.49,3
"80","E2-905","October",17.16,1
"81","E2-901","April",33.18,1
"82","E2-901","December",33.18,1
"83","E2-901","January",32.69,1
"84","E2-901","October",32.69,1
"85","E2-901","September",32.69,2
"86","E2-894","November",54.96,4
"87","E2-893","April",55.49,1
"88","E2-893","April",56.53,1
"89","E2-892","November",44.95,1
"90","E2-892","October",42.27,1
"91","E2-891","January",42.3,3
"92","E2-891","January",48.8,2
"93","E2-891","May",42.3,1
"94","E2-890","June",45.29,2
"95","E2-890","March",45.29,1
"96","E2-890","November",45.29,2
"97","E2-890","October",43.68,2
"98","E2-890","September",45.98,1
"99","E2-887","August",20.59,1
"100","E2-887","August",20.64,3
"101","E2-887","December",20.64,1
"102","E2-887","December",22.41,1
"103","E2-887","February",20.64,2
"104","E2-887","February",22.41,1
"105","E2-887","May",20.64,1
"106","E2-887","November",20.64,3
"107","E2-887","November",22.41,1
"108","E2-887","September",20.64,1
"109","E2-885","April",40.82,2
"110","E2-885","May",40.82,1
"111","E2-885","October",42.3,2
"112","E2-877","August",21.38,2
"113","E2-877","August",22.11,5
"114","E2-877","August",22.16,3
"115","E2-877","December",22.16,6
"116","E2-877","February",20.43,2
"117","E2-877","July",22.11,5
"118","E2-877","June",21.38,2
"119","E2-877","March",20.43,4
"120","E2-877","March",22.16,2
"121","E2-877","November",22.16,6
"122","E2-877","October",20.43,17
"123","E2-877","October",22.11,2
"124","E2-877","September",20.43,35
"125","E2-838","November",16.19,9
"126","E2-804","January",15.7,1
"127","E2-804","January",15.93,2
"128","E2-804","July",15.95,3
"129","E2-804","June",15.95,2
"130","E2-804","March",15.93,3
"131","E2-804","September",15.93,1
"132","E2-786","December",22.94,20
"133","E2-786","July",22.72,1
"134","E2-786","May",22.94,1
"135","E2-786","November",22.72,3
"136","E2-783","December",27.34,1
"137","E2-783","July",24.76,1
"138","E2-783","July",27.61,1
"139","E2-783","June",37.88,15
"140","E2-783","March",37.13,1
"141","E2-783","May",27.61,1
"142","E2-783","October",27.61,1
"143","E2-783","September",27.61,3
"144","E2-783","September",37.13,1
"145","E2-774","February",30.73,1
"146","E2-774","June",25.99,1
"147","E2-774","September",28.95,1
"148","E2-767","April",30.18,1
"149","E2-767","January",30.18,1
"150","E2-767","November",30.18,2
"151","E2-765","August",24.71,3
"152","E2-765","March",29.95,2
"153","E2-739","December",22.73,11
"154","E2-739","June",33.96,4
"155","E2-739","September",22.73,1
"156","E2-736","December",39.68,21
"157","E2-735","August",25.65,1
"158","E2-735","February",24.71,2
"159","E2-735","February",28.23,2
"160","E2-735","March",28.31,1
"161","E2-735","November",28.26,2
"162","E2-733","June",30.11,2
"163","E2-733","March",30.11,1
"164","E2-733","November",30.11,1
"165","E2-732","February",24,5
"166","E2-732","January",24,2
"167","E2-732","July",18.77,10
"168","E2-721","April",28.47,1
"169","E2-721","August",28.47,2
"170","E2-721","August",29.01,2
"171","E2-721","December",29.01,2
"172","E2-721","December",33.12,2
"173","E2-721","February",25.27,1
"174","E2-721","February",29.59,7
"175","E2-721","January",23.24,1
"176","E2-721","January",26.37,1
"177","E2-721","January",28.47,1
"178","E2-721","January",29.01,1
"179","E2-721","January",29.59,2
"180","E2-721","July",28.47,6
"181","E2-721","July",29.01,5
"182","E2-721","June",24.71,2
"183","E2-721","June",25.27,3
"184","E2-721","March",33.12,1
"185","E2-721","November",28.47,1
"186","E2-721","November",29.01,1
"187","E2-721","November",32.59,20
"188","E2-721","September",31.58,1
"189","E2-710","January",22.31,1
"190","E2-709","December",19.81,5
"191","E2-709","December",23.27,4
"192","E2-709","December",30.04,2
"193","E2-709","December",35.77,66
"194","E2-709","January",24.64,1
"195","E2-709","June",20.44,4
"196","E2-709","June",21.3,7
"197","E2-709","March",30.04,2
"198","E2-709","May",23.32,2
"199","E2-707","April",25.64,40
"200","E2-707","January",26.41,1
"201","E2-707","July",26.41,1
"202","E2-707","June",25.64,1
"203","E2-707","March",26.41,2
"204","E2-707","November",26.41,1
"205","E2-703","January",26.86,1
"206","E2-703","July",22.82,3
"207","E2-703","March",22.82,1
"208","E2-702","April",21.62,1
"209","E2-702","August",21.62,1
"210","E2-702","November",22.82,2
"211","E2-702","September",21.62,1
"212","E2-701","April",23.27,1
"213","E2-701","April",24.41,2
"214","E2-701","August",22.72,10
"215","E2-701","December",24.41,1
"216","E2-701","February",24.41,3
"217","E2-701","January",22.72,1
"218","E2-701","January",23.31,1
"219","E2-701","January",24.41,1
"220","E2-701","January",24.93,1
"221","E2-701","January",29.64,1
"222","E2-701","July",23.27,1
"223","E2-701","July",24.41,1
"224","E2-701","March",22.72,4
"225","E2-701","October",22.72,10
"226","E2-698","January",22.81,1
"227","E2-698","July",22.81,1
"228","E2-698","July",22.82,1
"229","E2-698","November",20.48,1
"230","E2-698","November",22.82,2
"231","E2-698","October",20.44,3
"232","E2-698","October",22.81,2
"233","E2-679","March",61.5,2
"234","E2-675","August",56.18,1
"235","E2-674","April",56.18,3
"236","E2-674","February",56.18,1
"237","E2-668","May",44.18,18
"238","E2-652","June",57.52,3
"239","E2-649","September",33.28,2
"240","E2-635","November",30.84,1
"241","E2-633","October",27.64,1
"242","E2-622","January",47.46,2
"243","E2-622","June",47.46,4
"244","E2-622","March",47.46,1
"245","E2-610","April",47.4,2
"246","E2-610","April",51.44,1
"247","E2-610","August",51.44,1
"248","E2-610","August",51.92,1
"249","E2-610","January",47.4,1
"250","E2-610","January",54.43,4
"251","E2-610","July",49.5,1
"252","E2-610","June",54.43,1
"253","E2-610","March",47.4,3
"254","E2-610","November",47.4,3
"255","E2-610","November",49.5,1
"256","E2-610","October",47.4,2
"257","E2-569","August",105.76,1
"258","E2-568","March",93.76,1
"259","E2-566","April",51.91,2
"260","E2-566","April",59.98,1
"261","E2-566","June",51.91,2
"262","E2-552","August",23.28,4
"263","E2-534","October",32.57,1
"264","E2-533","April",40.04,5
"265","E2-532","July",28.69,2
"266","E2-532","July",39.39,1
"267","E2-531","February",34.02,1
"268","E2-531","November",33.57,1
"269","E2-531","September",45.05,2
"270","E2-527","April",20.57,1
"271","E2-527","April",23.09,1
"272","E2-527","August",18.08,22
"273","E2-527","August",20.56,1
"274","E2-527","August",23.09,30
"275","E2-527","August",23.49,1
"276","E2-527","December",18.09,2
"277","E2-527","February",20.53,56
"278","E2-527","February",20.57,3
"279","E2-527","February",22.48,1
"280","E2-527","February",26.9,1
"281","E2-527","January",18.08,1
"282","E2-527","January",20.57,5
"283","E2-527","January",22.48,2
"284","E2-527","January",23.09,2
"285","E2-527","July",18.08,2
"286","E2-527","July",20.57,2
"287","E2-527","July",22.48,1
"288","E2-527","June",18.08,4
"289","E2-527","June",20.56,1
"290","E2-527","June",23.09,1
"291","E2-527","March",20.57,5
"292","E2-527","March",23.09,2
"293","E2-527","March",54.06,9
"294","E2-527","May",37.3,55
"295","E2-527","November",18.08,7
"296","E2-527","November",20.57,3
"297","E2-527","October",18.08,3
"298","E2-527","October",23.09,4
"299","E2-527","October",70.83,2
"300","E2-527","September",18.08,2
"301","E2-527","September",18.12,10
"302","E2-527","September",20.57,1
"303","E2-527","September",23.09,1
"304","E2-526","April",28.6,1
"305","E2-526","April",40.11,5
"306","E2-526","August",19.49,2
"307","E2-526","August",21.22,2
"308","E2-526","August",21.37,8
"309","E2-526","August",23.88,1
"310","E2-526","August",24.96,1
"311","E2-526","August",25.81,6
"312","E2-526","August",40.11,88
"313","E2-526","December",19.49,82
"314","E2-526","December",21.22,2
"315","E2-526","December",21.37,1
"316","E2-526","December",28.6,5
"317","E2-526","February",21.22,1
"318","E2-526","February",21.37,1
"319","E2-526","February",24.78,1
"320","E2-526","February",29.29,1
"321","E2-526","January",19.49,3
"322","E2-526","January",21.94,8
"323","E2-526","January",23.88,2
"324","E2-526","January",24.78,1
"325","E2-526","January",25.81,1
"326","E2-526","January",27.37,1
"327","E2-526","January",28.6,1
"328","E2-526","July",21.22,1
"329","E2-526","July",21.37,12
"330","E2-526","July",24.11,1
"331","E2-526","July",27.37,1
"332","E2-526","July",28.6,1
"333","E2-526","July",40.11,36
"334","E2-526","June",19.49,6
"335","E2-526","March",21.37,3
"336","E2-526","March",24.11,4
"337","E2-526","March",25.81,9
"338","E2-526","March",27.37,4
"339","E2-526","May",24.96,2
"340","E2-526","November",19.49,72
"341","E2-526","November",21.37,6
"342","E2-526","November",23.88,3
"343","E2-526","November",24.11,1
"344","E2-526","November",27.37,1
"345","E2-526","October",19.49,32
"346","E2-526","October",22.36,1
"347","E2-526","October",24.96,1
"348","E2-526","October",27.82,4
"349","E2-526","October",28.6,5
"350","E2-526","September",19.49,33
"351","E2-526","September",21.22,2
"352","E2-526","September",23.88,3
"353","E2-526","September",24.96,2
"354","E2-526","September",28.6,26
"355","E2-520","February",24.7,3
"356","E2-520","January",33.18,18
"357","E2-520","January",36.19,3
"358","E2-520","January",36.52,7
"359","E2-520","January",38.1,1
"360","E2-520","January",38.39,4
"361","E2-520","January",38.71,5
"362","E2-520","March",38.39,10
"363","E2-520","November",36.68,1
"364","E2-517","August",36.24,19
"365","E2-517","December",36.24,3
"366","E2-516","April",33.07,1
"367","E2-516","December",30.19,1
"368","E2-516","July",31.41,1
"369","E2-516","July",34.79,2
"370","E2-516","June",30.19,3
"371","E2-516","June",37.1,1
"372","E2-516","June",53.45,1
"373","E2-516","March",30.19,3
"374","E2-516","October",33.46,3
"375","E2-493","March",60.9,1
"376","E2-492","July",62.17,1
"377","E2-492","September",62.17,1
"378","E2-491","February",60.8,10
"379","E2-491","March",60.8,10
"380","E2-491","October",61.97,1
"381","E2-490","January",62.98,3
"382","E2-486","February",67.89,3
"383","E2-486","January",67.89,1
"384","E2-486","May",67.89,1
"385","E2-486","November",67.89,3
"386","E2-486","September",49.16,1
"387","E2-476","February",61.34,2
"388","E2-473","March",53.09,2
"389","E2-473","March",63.13,1
"390","E2-472","March",60.22,1
"391","E2-469","August",76.72,1
"392","E2-469","February",142.48,3
"393","E2-469","January",74.84,6
"394","E2-469","January",76.42,2
"395","E2-469","July",76.72,1
"396","E2-469","June",73.77,3
"397","E2-469","June",77.1,12
"398","E2-469","March",73.61,4
"399","E2-469","November",73.4,5
"400","E2-469","November",73.77,2
"401","E2-469","October",73.77,1
"402","E2-469","September",73.32,1
"403","E2-468","April",51.82,1
"404","E2-468","August",52.74,1
"405","E2-468","February",55.58,3
"406","E2-468","June",55.42,1
"407","E2-468","March",51.85,4
"408","E2-468","March",54.67,1
"409","E2-468","October",51.68,2
"410","E2-468","October",51.82,1
"411","E2-468","October",54.34,1
"412","E2-468","September",52.74,3
"413","E2-454","August",54.34,5
"414","E2-454","December",55.42,1
"415","E2-454","February",54.34,11
"416","E2-454","January",52.74,4
"417","E2-454","January",54.34,10
"418","E2-454","March",51.68,2
"419","E2-454","March",51.85,2
"420","E2-454","March",54.34,1
"421","E2-454","November",54.34,2
"422","E2-454","November",54.77,1
"423","E2-454","September",52.74,1
"424","E2-454","September",54.77,1
"425","E2-419","August",60.65,4
"426","E2-419","February",77.16,1
"427","E2-419","January",67.5,8
"428","E2-419","September",63.09,3
"429","E2-418","February",57.29,1
"430","E2-418","January",52.55,14
"431","E2-418","January",67.81,6
"432","E2-418","September",52.55,1
"433","E2-417","August",23.3,3
"434","E2-417","August",40.29,5
"435","E2-417","January",23.3,3
"436","E2-417","January",40.29,1
"437","E2-417","March",40.29,4
"438","E2-417","May",23.3,2
"439","E2-417","October",23.89,5
"440","E2-417","October",40.29,1
"441","E2-417","September",23.3,2
"442","E2-417","September",32.26,1
"443","E2-409","November",32.73,1
"444","E2-408","January",24.61,1
"445","E2-408","January",54.53,2
"446","E2-406","February",26.88,6
"447","E2-405","December",22.32,2
"448","E2-405","February",31.86,18
"449","E2-405","January",22.32,1
"450","E2-405","July",24.7,1
"451","E2-405","July",25.03,3
"452","E2-405","March",26.39,4
"453","E2-405","May",26.88,4
"454","E2-404","April",17.95,1
"455","E2-404","April",24.4,1
"456","E2-404","August",17.95,22
"457","E2-404","August",18.11,1
"458","E2-404","August",19.19,2
"459","E2-404","August",21.02,1
"460","E2-404","December",17.95,1
"461","E2-404","February",16.57,1
"462","E2-404","February",17.95,1
"463","E2-404","February",19.19,2
"464","E2-404","February",24.4,3
"465","E2-404","January",17.95,10
"466","E2-404","January",19.19,19
"467","E2-404","January",21.02,4
"468","E2-404","January",24.4,1
"469","E2-404","January",24.6,1
"470","E2-404","July",17.95,3
"471","E2-404","July",18.87,1
"472","E2-404","July",19.19,5
"473","E2-404","July",24.45,2
"474","E2-404","July",24.6,1
"475","E2-404","June",16.57,10
"476","E2-404","June",17.95,5
"477","E2-404","June",24.6,1
"478","E2-404","March",17.95,2
"479","E2-404","March",19.44,1
"480","E2-404","March",22.24,1
"481","E2-404","March",24.6,11
"482","E2-404","May",17.95,6
"483","E2-404","May",19.19,2
"484","E2-404","May",19.38,1
"485","E2-404","May",19.42,1
"486","E2-404","May",24.6,4
"487","E2-404","November",16.07,1
"488","E2-404","November",17.95,5
"489","E2-404","November",19.19,2
"490","E2-404","November",23.14,2
"491","E2-404","November",24.6,4
"492","E2-404","October",17.95,7
"493","E2-404","October",18.11,1
"494","E2-404","October",18.87,2
"495","E2-404","October",19.38,4
"496","E2-404","October",24.4,1
"497","E2-404","September",17.95,1
"498","E2-404","September",18.11,1
"499","E2-404","September",18.87,3
"500","E2-404","September",23.14,2
"501","E2-404","September",24.6,7
"502","E2-401","February",23.79,4
"503","E2-401","March",22.32,2
"504","E2-389","April",20.77,14
"505","E2-389","April",23.27,6
"506","E2-389","August",17.98,2
"507","E2-389","August",19.82,10
"508","E2-389","August",28.82,12
"509","E2-389","December",23.27,36
"510","E2-389","January",23.27,6
"511","E2-389","January",28.82,1
"512","E2-389","July",23.27,2
"513","E2-389","June",23.27,7
"514","E2-389","March",23.27,104
"515","E2-389","March",28.82,1
"516","E2-389","May",20.77,24
"517","E2-389","November",23.27,9
"518","E2-389","October",23.27,45
"519","E2-389","September",23.27,3
"520","E2-388","April",19.24,1
"521","E2-388","April",27.26,26
"522","E2-388","August",18.28,1
"523","E2-388","August",19.24,7
"524","E2-388","August",27.26,2
"525","E2-388","December",22.6,3
"526","E2-388","February",19.24,7
"527","E2-388","February",19.87,3
"528","E2-388","February",22.6,4
"529","E2-388","January",18.16,1
"530","E2-388","January",18.28,2
"531","E2-388","July",18.28,1
"532","E2-388","July",19.24,1
"533","E2-388","July",22.6,6
"534","E2-388","July",27.26,1
"535","E2-388","June",22.6,1
"536","E2-388","June",27.26,2
"537","E2-388","March",19.24,1
"538","E2-388","March",19.87,2
"539","E2-388","May",19.24,1
"540","E2-388","May",27.26,3
"541","E2-388","October",18.28,1
"542","E2-388","October",22.6,2
"543","E2-388","September",19.52,2
"544","E2-388","September",27.26,1
"545","E2-387","March",54.61,2
"546","E2-386","August",49.16,1
"547","E2-351","January",57.84,2
"548","E2-335","August",18.6,1
"549","E2-307","August",51.34,1
"550","E2-290","January",18.37,1
"551","E2-290","September",16.51,1
"552","E2-283","April",26.67,4
"553","E2-283","August",26.67,2
"554","E2-283","December",21.14,15
"555","E2-283","February",21.14,3
"556","E2-283","February",24.5,1
"557","E2-283","February",28.69,2
"558","E2-283","January",21.14,4
"559","E2-283","July",24.5,1
"560","E2-283","July",28.69,1
"561","E2-283","June",24.5,3
"562","E2-283","June",26.67,2
"563","E2-283","March",21.14,1
"564","E2-283","May",26.67,2
"565","E2-283","October",24.5,6
"566","E2-283","September",24.5,1
"567","E2-218","March",54.95,1
"568","E2-1013","December",62.42,2
"569","E2-1013","November",53.94,1
"570",NA,"April",NA,1
"571",NA,"August",NA,1
"572",NA,"November",NA,5
"573",NA,"October",NA,6
