LEM_Kit,LED,LEM_Acct_Val,LED_Acct_Val,LEM_Price
LEM-198-16-3022KH,LED-198-H35-3022,32.889,30.98,75
LEM-198-32-2722KH,LED-198-H70-2722,32.889,30.98,75
LEM-198-32-2722KS,LED-198-S70-2722,32.889,30.98,70
LEM-198-32-3022KS,LED-198-S70-3022,32.889,30.98,70
LEM-203-00-27KH,LED-203-27-HI,12.3874,11.7,35
LEM-203-00-27KS,LED-203-27,12.5612,11.7,30
LEM-203-00-30KH,LED-203-30-HI,12.3874,11.7,35
LEM-203-00-30KS,LED-203-30,12.5612,11.7,30
LEM-203-00-35KS,LED-203-35,12.5612,11.7,30
LEM-203-00-40KS,LED-203-40,12.5612,11.7,30
LEM-204-00-2722KH,LED-204-H00-2722,15.055,14.43,45
LEM-204-00-2722KS,LED-204-S00-2722,15.045,14.42,40
LEM-204-00-3022KH,LED-204-H00-3022,15.2288,14.43,45
LEM-204-00-3022KS,LED-204-S00-3022,15.1467,14.43,40
LEM-204-00-3522KS,LED-204-S00-3522,18.2667,17.55,40
LEM-212-00-6022KS,LED-212-S00-6022,23.409,21.5,75
LEM-213-00-27KS,LED-213-S00-27,13.609,11.7,30
LEM-213-00-30KS,LED-213-S00-30,13.609,11.7,30
LEM-213-00-35KS,LED-213-S00-35,13.609,11.7,30
LEM-213-00-40KS,LED-213-S00-40,13.609,11.7,30
LEM-218-00-30KS,LED-218-S00-30,42.3491,39.85,90
LEM-218-00-35KS,LED-218-S00-35,42.3491,39.85,90
LEM-219-00-6022KS,LED-219-S00-6022,20.725,20.1,60
LEM-230-16-30KS,LED-230-S01-30,26.599,24.69,55
LEM-230-33-27KH,LED-230-H02-27,26.599,24.69,60
LEM-230-33-27KS,LED-230-S02-27,26.599,24.69,55
LEM-230-33-30KS,LED-230-S02-30,26.599,24.69,55
LEM-234-00-3022KS,LED-234-S00-3022,70.4991,68,135
LEM-236-00-30KS,LED-236-S00-30,41.8081,41.09,90
LEM-236-00-35KS,LED-236-S00-35,41.8081,41.09,90
LEM-239-00-27KH,LED-239-H00-27,15.6265,13.8,45
LEM-239-00-27KS,LED-239-S00-27,15.6265,13.8,40
LEM-239-00-30KS,LED-239-S00-30,15.6265,13.8,40
LEM-239-00-35KS,LED-239-S00-35,15.6265,13.8,40
LEM-239-00-40KS,LED-239-S00-40,15.6265,13.8,40
LEM-240-00-27KH,LED-240-H00-27,15.709,13.8,45
LEM-240-00-27KS,LED-240-S00-27,15.709,13.8,40
LEM-240-00-30KH,LED-240-H00-30,15.709,13.8,45
LEM-240-00-30KS,LED-240-S00-30,15.709,13.8,40
LEM-240-00-35KH,LED-240-H01-35,15.709,13.8,45
LEM-240-00-35KS,LED-240-S00-35,15.709,13.8,40
LEM-240-00-40KS,LED-240-S00-40,15.709,13.8,40
LEM-240-01-35KH,LED-240-H01-35,15.709,13.8,45
LEM-240-01-40KH,LED-240-H01-40,15.709,13.8,45
LEM-255-00-30KH,LED-255-H00-30,15.1526,13.69,45
LEM-273-00-RGB30KS,LED-273-S00-RGB30,45.909,44,90
LEM-274-00-27KH,LED-274-H00-27,12.3426,10.82,35
LEM-274-00-27KS,LED-274-S00-27,12.3426,10.82,30
LEM-274-00-30KH,LED-274-H00-30,12.3426,10.82,35
LEM-274-00-30KS,LED-274-S00-30,12.3426,10.82,30
LEM-274-00-35KH,LED-274-H00-35,12.3426,10.82,35
LEM-274-00-35KS,LED-274-S00-35,12.3426,10.82,30
LEM-274-00-40KS,LED-274-S00-40,12.3426,10.82,30
LEM-275-16-2722KS,LED-275-S35-2722,29.109,27.2,61
LEM-275-16-3022KH,LED-275-H35-3022,29.109,27.2,65
LEM-275-32-2722KH,LED-275-H70-2722,29.109,27.2,65
LEM-275-32-2722KS,LED-275-S70-2722,29.109,27.2,60
LEM-275-32-3022KH,LED-275-H70-2722,29.109,27.2,65
LEM-275-32-3022KS,LED-275-S70-3022,29.109,27.2,60
LEM-275-32-3522KS,LED-275-S70-3522,29.109,27.2,60
LEM-281-00-2722KH,LED-281-H00-2722,13.3726,11.85,35
LEM-281-00-2722KS,LED-281-S00-2722,13.0726,11.55,30
LEM-281-00-3022KH,LED-281-H00-3022,13.3726,11.85,35
LEM-293-00-27KS,LED-293-S00-27,25.859,23.95,65
LEM-293-00-30KH,LED-293-H00-30,25.859,23.95,70
LEM-293-00-30KS,LED-293-S00-30,25.859,23.95,65
LEM-293-00-35KH,LED-293-H00-35,25.859,23.95,70
LEM-293-00-35KS,LED-293-S00-35,25.859,23.95,65
LEM-293-00-40KS,LED-293-S00-40,25.859,23.95,65
LEM-307-00-27KH,LED-307-H00-27,4.1644,2.8356,25
LEM-307-00-30KH,LED-307-H00-30,4.1327,2.8356,25
LEM-307-00-30KS,LED-307-S00-30,4.1327,2.8356,20
LEM-307-00-35KH,LED-307-H00-35,4.1327,2.8356,25
LEM-307-00-35KS,LED-307-S00-35,4.1327,2.8356,20
LEM-313-00-2722KS,LED-313-S00-2722,25.925,25.3,60
LEM-313-00-3022KH,LED-313-H00-3022,25.925,25.3,56
LEM-313-00-3022KS,LED-313-S00-3022,25.925,25.3,60
LEM-313-00-3522KS,LED-313-S00-3522,25.925,25.3,60
LEM-319-00-27KH,LED-319-H00-27,11.6138,10.25,40
LEM-319-00-27KU,LED-319-U00-27,11.9139,10.55,35
LEM-319-00-30KH,LED-319-H00-30,11.6139,10.55,40
LEM-319-00-30KS,LED-319-S00-30,11.6139,10.25,35
LEM-319-00-30KU,LED-319-U00-30,11.9139,10.55,35
LEM-319-00-35KH,LED-319-H00-35,11.6139,10.25,40
LEM-319-00-35KS,LED-319-S00-35,11.6139,10.25,35
LEM-326-00-27KS,LED-326-S00-27,11.809,9.9,35
LEM-326-00-30KS,LED-326-S00-30,11.809,9.9,35
LEM-326-00-35KH,LED-326-H00-35,11.809,9.9,28
LEM-326-00-35KS,LED-326-S00-35,11.809,9.9,35
LEM-336-00-RGB30KS,LED-336-S00-RGB30,30.475,29.85,35
LEM-397-S00-6022,LED-397-S00-6022,21.4638,20.1,43
LEM-218-00-27KS,LED-218-S00-27,42.3491,39.85,90
LEM-293-00-27KH,LED-293-H00-27,25.859,23.95,70
LEM-326-00-30KH,LED-326-H00-30,11.809,9.9,26
LEM-198-32-3022KH,LED-198-H70-3022,32.889,30.98,75
LEM-307-00-40KS,LED-307-S00-40,4.1327,2.8356,20
LEM-313-00-2722KH,LED-313-H00-2722,25.925,25.3,65
LEM-401-00-3018KH,LED-401-H00-3018,6.0401,4.743,20
LEM-240-00-22KS,LEM-240-00-22KS,15.6813,15.6813,40
LEM-250-00-A1,LED-250-C00-A1,33.4809,31.5996,80
LEM-276-32-3022KH,LED-276-H70-3022,29.1353,27.2,64
LEM-307-00-27KS,LED-307-S00-27,4.1327,2.8356,20
LEM-275-16-2722KH,LED-275-H35-2722,29.0813,27.2,65
LEM-234-00-2722KS-W1,LED-234-S00-2722,61.0245,58.25,163
LEM-239-00-30KH,LED-239-H00-30,15.7433,13.8,45
LEM-281-00-3022KS,LED-281-S00-3022,13.1622,11.55,32
LEM-307-00-40KH,LED-307-H00-40,4.1517,2.8356,25
LEM-326-00-40KS,LED-326-S00-40,11.7893,9.9,35
LEM-319-00-40KS,LED-319-S01-40,11.6268,9.93,35
LEM-230-16-30KH,LED-230-H01-30,26.5842,24.69,60
LEM-232-00-6022KS,LED-232-S00-6022,72.3616,69.8496,85
